State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Nagaland,MON,2014,Rabi       ,Lentil,210.0,170.0
Uttarakhand,TEHRI GARHWAL,2004,Whole Year ,Tobacco,3.0,10.0
Jammu and Kashmir ,SRINAGAR,2013,Rabi       ,Rapeseed &Mustard,60.0,75.7
Sikkim,WEST DISTRICT,1998,Rabi       ,Other  Rabi pulses,840.0,1000.0
Tamil Nadu,PUDUKKOTTAI,2000,Kharif     ,Other Cereals & Millets,427.0,234.0
Rajasthan,KARAULI,2008,Whole Year ,Banana,2.0,
Madhya Pradesh,ANUPPUR,2012,Rabi       ,Other  Rabi pulses,61.0,24.0
Chhattisgarh,NARAYANPUR,2009,Whole Year ,Dry ginger,1.0,
Telangana ,ADILABAD,2002,Kharif     ,Soyabean,38558.0,0.0
Jharkhand,HAZARIBAGH,2006,Whole Year ,Sugarcane,72.36,3240.0
Telangana ,KARIMNAGAR,2013,Whole Year ,Dry ginger,8.0,52.0
Kerala,ALAPPUZHA,2003,Whole Year ,Bhindi,11.0,0.0
Nagaland,LONGLENG,2011,Kharif     ,Horse-gram,20.0,20.0
Chhattisgarh,BALODA BAZAR,2013,Kharif     ,Soyabean,209.0,339.0
Assam,DHEMAJI,2012,Rabi       ,Arecanut,990.0,967.0
Chhattisgarh,BALRAMPUR,2011,Kharif     ,Cotton(lint),6.0,1.0
Himachal Pradesh,KULLU,2006,Kharif     ,Moong(Green Gram),136.0,47.0
Himachal Pradesh,HAMIRPUR,2001,Rabi       ,Barley,110.0,153.0
Andhra Pradesh,SRIKAKULAM,2002,Whole Year ,Pome Fruit,44.0,336.0
Tamil Nadu,PUDUKKOTTAI,2000,Whole Year ,Onion,28.0,226.0
Uttar Pradesh,MATHURA,2012,Kharif     ,Guar seed,52.0,42.0
Uttar Pradesh,MUZAFFARNAGAR,1998,Kharif     ,Cotton(lint),541.0,84.0
Arunachal Pradesh,CHANGLANG,1998,Kharif     ,Sunflower,55.0,20.0
Telangana ,NALGONDA,2014,Whole Year ,Coriander,135.0,32.0
Andhra Pradesh,KADAPA,2003,Whole Year ,Beans & Mutter(Vegetable),139.0,697.0
Telangana ,MEDAK,2003,Whole Year ,Citrus Fruit,47.0,347.0
Himachal Pradesh,BILASPUR,2005,Kharif     ,Moong(Green Gram),48.0,26.0
Odisha,NABARANGPUR,2011,Winter     ,Niger seed,129.0,9.0
Maharashtra,DHULE,2014,Kharif     ,Sesamum,2800.0,900.0
Tamil Nadu,KANNIYAKUMARI,2002,Whole Year ,Pineapple,51.0,1578.0
Meghalaya,EAST JAINTIA HILLS,2013,Rabi       ,Cowpea(Lobia),22.0,21.0
Tamil Nadu,RAMANATHAPURAM,2002,Whole Year ,Bhindi,17.0,127.0
West Bengal,DARJEELING,2004,Kharif     ,Ragi,11305.0,13532.0
Sikkim,WEST DISTRICT,2002,Whole Year ,Potato,2970.0,10180.0
Chhattisgarh,KANKER,2009,Whole Year ,Coriander,54.0,12.0
Karnataka,DAVANGERE,2011,Kharif     ,Cowpea(Lobia),235.0,124.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Kharif     ,Rice,8683.38,25870.98
Gujarat,AHMADABAD,1997,Whole Year ,Pulses total,7000.0,48.0
Nagaland,MON,2013,Kharif     ,Colocosia,880.0,8380.0
Kerala,PALAKKAD,1998,Kharif     ,Groundnut,7019.0,5218.0
Assam,CHIRANG,2008,Rabi       ,Blackgram,727.0,430.0
Nagaland,MON,2012,Rabi       ,Linseed,550.0,450.0
Kerala,WAYANAD,2013,Whole Year ,Arhar/Tur,48.0,72.0
Telangana ,KARIMNAGAR,2010,Whole Year ,Garlic,12.0,25.0
Manipur,CHURACHANDPUR,2002,Whole Year ,Other Fresh Fruits,1425.0,3579.0
Kerala,ERNAKULAM,2012,Whole Year ,Moong(Green Gram),2.0,
Meghalaya,WEST KHASI HILLS,1999,Rabi       ,Rice,5.0,3.0
Bihar,KHAGARIA,2001,Kharif     ,Ragi,38.0,33.0
Madhya Pradesh,REWA,1999,Kharif     ,Maize,1322.0,1371.0
Tamil Nadu,VELLORE,2002,Whole Year ,Litchi,1.0,0.0
Haryana,REWARI,2003,Whole Year ,Dry chillies,18.0,
Karnataka,BENGALURU URBAN,2013,Kharif     ,Sesamum,15.0,9.0
Odisha,KENDRAPARA,2004,Rabi       ,Sunflower,81.0,61.0
West Bengal,NADIA,2012,Rabi       ,Gram,7127.0,6505.0
Andhra Pradesh,ANANTAPUR,2000,Rabi       ,Bajra,317.0,185.0
Jammu and Kashmir ,BARAMULLA,2000,Rabi       ,Gram,140.0,77.0
Puducherry,KARAIKAL,1999,Rabi       ,Moong(Green Gram),71.0,44.0
Himachal Pradesh,SIRMAUR,2007,Kharif     ,Turmeric,33.0,17.0
Andhra Pradesh,KURNOOL,2013,Kharif     ,Small millets,11066.0,10136.0
Karnataka,BELGAUM,2009,Rabi       ,Potato,179.0,2643.0
Tamil Nadu,PUDUKKOTTAI,2003,Whole Year ,Drum Stick,12.0,0.0
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,2011,Kharif     ,Maize,75.0,75.0
Telangana ,MAHBUBNAGAR,2005,Rabi       ,Maize,1832.0,8684.0
Meghalaya,WEST GARO HILLS,2002,Whole Year ,Dry chillies,880.0,548.0
Puducherry,PONDICHERRY,2008,Summer     ,Other  Rabi pulses,6.0,6.0
Haryana,JHAJJAR,2012,Whole Year ,Guar seed,6500.0,4550.0
Rajasthan,DUNGARPUR,2010,Kharif     ,Bajra,151.0,167.0
Odisha,NAYAGARH,2004,Whole Year ,Coriander,261.0,118.0
Assam,GOLAGHAT,2000,Rabi       ,Other  Rabi pulses,3934.0,2680.0
Andhra Pradesh,VIZIANAGARAM,2000,Whole Year ,Coconut ,2962.0,31704750.0
Telangana ,ADILABAD,2003,Whole Year ,Brinjal,544.0,7061.0
West Bengal,MEDINIPUR WEST,2011,Kharif     ,Horse-gram,415.0,220.0
Karnataka,KODAGU,2011,Kharif     ,Peas & beans (Pulses),33.0,294.0
Tripura,DHALAI,1999,Whole Year ,Oilseeds total,1749.0,1295.0
Rajasthan,SIROHI,2001,Whole Year ,Garlic,17.0,17.0
Chhattisgarh,BASTAR,2003,Kharif     ,Castor seed,5.0,2.0
Kerala,THIRUVANANTHAPURAM,1998,Whole Year ,Arecanut,827.0,455.0
Andhra Pradesh,SRIKAKULAM,2013,Whole Year ,Dry ginger,42.0,278.0
Manipur,BISHNUPUR,2003,Kharif     ,Other Kharif pulses,360.0,180.0
Chhattisgarh,RAIPUR,2002,Kharif     ,Sunflower,215.0,80.0
Madhya Pradesh,SEONI,2013,Whole Year ,Banana,3.0,
Chhattisgarh,DANTEWADA,2004,Kharif     ,Small millets,52852.0,8836.0
Nagaland,MON,2011,Kharif     ,Tapioca,120.0,2810.0
Bihar,MADHUBANI,2001,Rabi       ,Khesari,2699.0,1406.0
Himachal Pradesh,KANGRA,2002,Kharif     ,Masoor,133.0,29.0
Uttar Pradesh,FAIZABAD,1998,Whole Year ,Potato,5530.0,108938.0
Assam,BONGAIGAON,2014,Rabi       ,Pineapple,257.0,4817.0
Manipur,TAMENGLONG,2000,Whole Year ,Sugarcane,30.0,980.0
Haryana,KARNAL,1997,Kharif     ,Other Kharif pulses,800.0,900.0
Karnataka,BELGAUM,2012,Whole Year ,Black pepper,5.0,14.0
Tamil Nadu,TUTICORIN,2003,Whole Year ,Grapes,1.0,24.0
Tamil Nadu,CUDDALORE,2003,Whole Year ,Lab-Lab,31.0,0.0
Chhattisgarh,MUNGELI,2014,Rabi       ,Wheat,5579.0,8348.0
Nagaland,DIMAPUR,2012,Rabi       ,Linseed,1100.0,900.0
Tripura,DHALAI,2006,Kharif     ,Jute,72.0,618.0
Himachal Pradesh,SHIMLA,1999,Kharif     ,Maize,16685.0,38442.0
Haryana,MEWAT,2006,Kharif     ,Cotton(lint),41.0,
Bihar,KATIHAR,2001,Kharif     ,Urad,3902.0,2498.0
Meghalaya,EAST KHASI HILLS,2008,Kharif     ,Sesamum,49.0,55.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year ,other oilseeds,133.0,55.0
Kerala,KANNUR,2009,Whole Year ,Sweet potato,28.0,318.0
Uttar Pradesh,MAINPURI,2012,Summer     ,Banana,25.0,1116.0
Tripura,UNAKOTI,2013,Kharif     ,Arhar/Tur,116.0,93.0
Bihar,ROHTAS,2001,Whole Year ,Dry chillies,198.0,212.0
Karnataka,GADAG,2001,Rabi       ,Horse-gram,760.0,150.0
Karnataka,BANGALORE RURAL,2010,Whole Year ,Tapioca,5.0,55.0
Chhattisgarh,KABIRDHAM,2012,Kharif     ,Maize,2166.0,3338.0
Odisha,NUAPADA,2000,Whole Year ,Garlic,90.0,280.0
Telangana ,ADILABAD,2003,Kharif     ,Samai,2.0,1.0
Uttarakhand,UTTAR KASHI,2014,Rabi       ,Pulses total,1058.0,744.0
Rajasthan,BARAN,2008,Kharif     ,Cotton(lint),1.0,
Tamil Nadu,SALEM,2003,Whole Year ,Water Melon,3.0,0.0
Bihar,SAMASTIPUR,2001,Whole Year ,Potato,10344.0,95823.0
Tamil Nadu,VIRUDHUNAGAR,2000,Kharif     ,Jowar,10746.0,9558.0
Madhya Pradesh,SHEOPUR,2009,Whole Year ,Maize,907.0,667.0
Mizoram,KOLASIB,1997,Kharif     ,Groundnut,40.0,78.0
Himachal Pradesh,SIRMAUR,2010,Kharif     ,Potato,669.0,5185.0
Uttarakhand,HARIDWAR,2001,Whole Year ,Onion,9.0,90.0
Odisha,SAMBALPUR,2002,Whole Year ,Sugarcane,55.0,2669.0
Uttar Pradesh,HAMIRPUR,2007,Rabi       ,Tobacco,10.0,56.0
Karnataka,BIDAR,2002,Whole Year ,Citrus Fruit,69.0,1197.0
Chhattisgarh,RAJNANDGAON,2003,Rabi       ,Linseed,18508.0,5998.0
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,2005,Kharif     ,Maize,100.0,110.0
Uttarakhand,ALMORA,2004,Whole Year ,Dry ginger,69.0,656.0
Andhra Pradesh,ANANTAPUR,2011,Kharif     ,Bajra,2614.0,3307.0
Karnataka,DHARWAD,2013,Rabi       ,Horse-gram,1297.0,430.0
Uttar Pradesh,KANPUR NAGAR,1998,Rabi       ,Castor seed,9.0,6.0
West Bengal,PURULIA,2009,Kharif     ,Bajra,47.0,16.0
Tamil Nadu,THENI,1999,Kharif     ,Urad,2424.0,1256.0
Madhya Pradesh,KHANDWA,2003,Whole Year ,Tomato,279.0,0.0
Andhra Pradesh,EAST GODAVARI,2011,Kharif     ,other oilseeds,7595.0,130102.0
Rajasthan,BHILWARA,1999,Whole Year ,Turmeric,44.0,88.0
Meghalaya,SOUTH GARO HILLS,2002,Whole Year ,Citrus Fruit,387.0,294.0
Madhya Pradesh,UJJAIN,2005,Kharif     ,Urad,5936.0,1714.0
Telangana ,WARANGAL,2011,Kharif     ,Castor seed,1732.0,1202.0
Haryana,KAITHAL,2001,Whole Year ,Garlic,1.0,0.0
Chhattisgarh,BASTAR,2010,Kharif     ,Niger seed,12189.0,2591.0
Madhya Pradesh,SEHORE,1997,Kharif     ,Groundnut,200.0,200.0
Uttarakhand,UDAM SINGH NAGAR,2007,Whole Year ,Turmeric,4.0,7.0
Bihar,PATNA,2013,Rabi       ,Khesari,10381.0,18354.0
Kerala,PALAKKAD,2013,Whole Year ,Moong(Green Gram),3.0,
Jharkhand,DEOGHAR,2007,Rabi       ,Wheat,3141.02,5588.0
Maharashtra,HINGOLI,2003,Rabi       ,Linseed,700.0,100.0
Uttar Pradesh,KANNAUJ,2012,Kharif     ,Sugarcane,215.0,13051.0
Tamil Nadu,VELLORE,2002,Whole Year ,Bhindi,308.0,1765.0
Karnataka,UTTAR KANNAD,2004,Whole Year ,Dry chillies,33.0,24.0
Bihar,AURANGABAD,2002,Kharif     ,Sesamum,17.0,15.0
Himachal Pradesh,CHAMBA,2001,Kharif     ,Bajra,1.0,1.0
Uttar Pradesh,RAE BARELI,1999,Whole Year ,Moth,3.0,1.0
Chhattisgarh,BILASPUR,2013,Rabi       ,Wheat,8261.0,11953.0
Uttarakhand,RUDRA PRAYAG,2003,Rabi       ,Barley,1126.0,1173.0
Rajasthan,BANSWARA,2000,Kharif     ,Bajra,83.0,37.0
Himachal Pradesh,BILASPUR,2005,Kharif     ,Sannhamp,1.0,1.0
Jammu and Kashmir ,KATHUA,2003,Whole Year ,Sannhamp,14.0,7.0
Tamil Nadu,VIRUDHUNAGAR,2009,Whole Year ,Urad,3543.0,824.0
Himachal Pradesh,MANDI,2001,Whole Year ,Garlic,163.0,58.0
Chhattisgarh,KOREA,2006,Whole Year ,Onion,105.0,401.0
Assam,CACHAR,2011,Kharif     ,Papaya,302.0,5878.0
Karnataka,BELLARY,2002,Whole Year ,Citrus Fruit,54.0,937.0
Assam,GOALPARA,2001,Whole Year ,Turmeric,270.0,138.0
Rajasthan,BHILWARA,2003,Whole Year ,other oilseeds,5704.0,3712.0
Assam,KAMRUP,2005,Rabi       ,Rapeseed &Mustard,6535.0,3798.0
Uttar Pradesh,FATEHPUR,2009,Rabi       ,Linseed,604.0,204.0
Nagaland,WOKHA,2000,Kharif     ,Sesamum,510.0,360.0
Meghalaya,RI BHOI,2013,Rabi       ,Cowpea(Lobia),10.0,14.0
Himachal Pradesh,KANGRA,2001,Kharif     ,Small millets,282.0,71.0
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,2010,Rabi       ,Gram,80.0,80.0
Rajasthan,CHURU,2004,Kharif     ,Castor seed,308.0,19.0
Gujarat,NARMADA,2010,Kharif     ,Rice,12000.0,10500.0
Telangana ,NIZAMABAD,2002,Whole Year ,Bhindi,424.0,1113.0
Odisha,MAYURBHANJ,1999,Kharif     ,Jute,250.0,1040.0
Karnataka,HASSAN,2011,Kharif     ,Other Kharif pulses,3840.0,2459.0
Manipur,BISHNUPUR,2003,Whole Year ,Pome Fruit,60.0,188.0
Tamil Nadu,THE NILGIRIS,2002,Whole Year ,Turnip,61.0,0.0
Karnataka,HAVERI,2011,Whole Year ,Turmeric,6.0,30.0
Rajasthan,SIKAR,2003,Rabi       ,Peas & beans (Pulses),22.0,33.0
Gujarat,JAMNAGAR,2000,Whole Year ,Potato,100.0,2800.0
Maharashtra,NAGPUR,2001,Kharif     ,Sesamum,400.0,100.0
Assam,KARBI ANGLONG,2003,Whole Year ,Tapioca,315.0,1588.0
Maharashtra,NANDED,2014,Rabi       ,Gram,51200.0,25700.0
Tamil Nadu,TUTICORIN,2003,Whole Year ,Bottle Gourd,1.0,0.0
Nagaland,KIPHIRE,2014,Rabi       ,Oilseeds total,1390.0,1360.0
West Bengal,MEDINIPUR EAST,1997,Whole Year ,Sugarcane,14.0,1180.0
Kerala,WAYANAD,2005,Whole Year ,Cardamom,4106.0,380.0
Tamil Nadu,DINDIGUL,1999,Kharif     ,Varagu,105.0,93.0
Tamil Nadu,TIRUCHIRAPPALLI,2003,Kharif     ,Small millets,612.0,548.0
Tamil Nadu,TIRUNELVELI,2007,Whole Year ,Castor seed,108.0,26.0
Punjab,SANGRUR,2000,Kharif     ,Cotton(lint),21000.0,41000.0
Assam,KARIMGANJ,2003,Rabi       ,other misc. pulses,800.0,300.0
Tamil Nadu,NAGAPATTINAM,2003,Whole Year ,Pome Granet,1.0,0.0
Odisha,RAYAGADA,1999,Whole Year ,Tobacco,1980.0,1740.0
Uttarakhand,UTTAR KASHI,2008,Kharif     ,Arhar/Tur,366.0,293.0
Uttar Pradesh,AMBEDKAR NAGAR,2004,Whole Year ,Dry chillies,25.0,23.0
Telangana ,NIZAMABAD,2003,Whole Year ,Cabbage,2.0,0.0
Manipur,UKHRUL,1998,Winter     ,Turmeric,20.0,10.0
Tamil Nadu,TUTICORIN,2000,Kharif     ,Cotton(lint),9516.0,7333.0
Punjab,HOSHIARPUR,1998,Kharif     ,Arhar/Tur,100.0,100.0
Tamil Nadu,THENI,2003,Whole Year ,Orange,43.0,84.0
Himachal Pradesh,SIRMAUR,2008,Kharif     ,Bajra,4.0,2.0
Chhattisgarh,BILASPUR,2006,Rabi       ,Rapeseed &Mustard,2326.0,798.0
Odisha,KHORDHA,2001,Whole Year ,Coriander,290.0,140.0
Assam,LAKHIMPUR,2003,Rabi       ,other misc. pulses,173.0,82.0
Andhra Pradesh,EAST GODAVARI,2006,Whole Year ,Banana,16772.0,295690.0
Rajasthan,PALI,2003,Whole Year ,Pome Fruit,2.0,0.0
